migration_status	genomic_migration	genomic_Ne	scenario	model	simulation_id	batch	row_in_batch	N1	N2	Na	founders1	founders2	Tdem1	Tdem2	shape_N_a	shape_N_b	Tsplit	Tam	Tsc	M12	nBarriersM12	M21	nBarriersM21
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000001	0	1	1.63975	0.74241	1.18792	0.45316	0.19619	0.02806	0.32429	NA	NA	0.81983	0.72676	NA	5.29502	NA	28.54915	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000002	0	2	0.55967	0.35857	1.62399	0.37757	0.72159	0.10498	0.15541	NA	NA	0.16567	0.11316	NA	5.47031	NA	31.55378	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000003	0	3	0.81673	1.37144	0.31315	0.84782	0.88984	0.19109	0.23149	NA	NA	0.24489	0.18295	NA	23.49034	NA	6.20265	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000004	0	4	1.29507	1.98417	0.9391	0.72702	0.7177	0.08256	0.24895	NA	NA	0.2784	0.19171	NA	35.26709	NA	9.23464	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000005	0	5	1.00237	1.56865	1.27548	0.10953	0.25975	0.02259	0.13513	NA	NA	0.78394	0.76255	NA	38.99381	NA	12.65266	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000006	0	6	0.36709	1.14353	1.34093	0.47738	0.05493	0.37085	0.11739	NA	NA	0.45758	0.22889	NA	37.6704	NA	27.4695	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000007	0	7	0.07459	0.61372	0.28118	0.15065	0.80278	0.0128	0.11368	NA	NA	0.29245	0.23726	NA	11.67418	NA	2.73519	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000008	0	8	1.13325	1.65369	0.89055	0.53584	0.43094	0.07756	0.05368	NA	NA	0.08996	0.0542	NA	7.51144	NA	18.74996	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000009	0	9	1.31706	0.45116	1.27068	0.65979	0.73579	0.24541	0.33867	NA	NA	0.40412	0.28463	NA	28.27501	NA	3.09628	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000010	0	10	0.07635	0.7774	1.57054	0.30827	0.3849	0.24845	0.13856	NA	NA	0.48204	0.24458	NA	35.35975	NA	6.3024	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000011	0	11	0.78722	1.88333	1.33315	0.39712	0.03401	0.05094	0.06058	NA	NA	0.11458	0.07634	NA	26.54223	NA	19.14204	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000012	0	12	1.21642	1.899	0.28473	0.64443	0.86749	0.11127	0.02951	NA	NA	0.28942	0.17073	NA	10.14815	NA	7.05512	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000013	0	13	1.22921	1.12607	0.55506	0.45558	0.72361	0.44688	0.5665	NA	NA	0.80622	0.55293	NA	24.44776	NA	2.78718	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000014	0	14	0.15008	1.9773	0.34845	0.11728	0.8251	0.015	0.04143	NA	NA	0.05544	0.04265	NA	9.63825	NA	38.86423	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000015	0	15	1.398	1.11845	1.35836	0.40609	0.31327	0.01733	0.03097	NA	NA	0.21456	0.20465	NA	35.71685	NA	25.50045	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000016	0	16	0.73583	0.26587	0.03339	0.21569	0.67449	0.1069	0.09251	NA	NA	0.11469	0.09678	NA	27.23749	NA	15.82623	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000017	0	17	0.81488	0.67918	1.88173	0.42668	0.82267	0.36024	0.11444	NA	NA	0.72422	0.54918	NA	38.06441	NA	22.8788	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000018	0	18	0.61993	1.8173	1.89882	0.5457	0.03664	0.08076	0.31315	NA	NA	0.46233	0.39074	NA	28.57437	NA	19.9604	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000019	0	19	0.86587	0.97631	1.09617	0.48404	0.88629	0.0207	0.0729	NA	NA	0.20566	0.13385	NA	39.262	NA	22.71638	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000020	0	20	0.8757	0.11077	0.63053	0.53492	0.82872	0.11351	0.01001	NA	NA	0.11798	0.05953	NA	33.18511	NA	14.86762	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000021	0	21	0.79588	1.9232	1.45932	0.08337	0.86943	0.25488	0.27451	NA	NA	0.43441	0.25291	NA	5.01846	NA	10.2632	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000022	0	22	1.2736	1.91808	0.03371	0.21107	0.79018	0.12025	0.16567	NA	NA	0.21618	0.18721	NA	19.02983	NA	24.06221	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000023	0	23	1.73631	0.14302	0.65973	0.78254	0.01492	0.02475	0.01103	NA	NA	0.0392	0.03703	NA	25.36189	NA	34.60296	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000024	0	24	1.16073	0.13656	0.41767	0.40393	0.91734	0.06457	0.05464	NA	NA	0.238	0.16335	NA	34.66979	NA	17.11047	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000025	0	25	1.0304	1.32651	1.25598	0.40225	0.73259	0.3286	0.50908	NA	NA	0.52498	0.30733	NA	18.16894	NA	17.20526	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000026	0	26	1.12154	1.38445	0.43591	0.8511	0.05126	0.33153	0.55043	NA	NA	0.55687	0.4903	NA	34.31174	NA	24.10743	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000027	0	27	0.25851	1.67236	0.07306	0.15335	0.84879	0.16115	0.47745	NA	NA	0.83853	0.63637	NA	36.24666	NA	12.47278	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000028	0	28	1.66287	1.07162	1.65569	0.67881	0.60226	0.04326	0.00158	NA	NA	0.12144	0.11036	NA	9.21571	NA	22.4183	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000029	0	29	1.52411	0.57742	0.31934	0.45145	0.44341	0.25255	0.29539	NA	NA	0.32954	0.31902	NA	1.58756	NA	21.2352	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000030	0	30	0.95178	0.50663	0.93364	0.07426	0.44739	0.4295	0.36363	NA	NA	0.67361	0.62689	NA	7.34503	NA	20.50424	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000031	0	31	1.04648	1.67092	0.64034	0.32147	0.50559	0.02584	0.07486	NA	NA	0.19433	0.17028	NA	18.29324	NA	24.40512	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000032	0	32	1.56319	0.90694	0.86794	0.41859	0.96315	0.61818	0.50033	NA	NA	0.82959	0.75405	NA	14.66541	NA	10.46162	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000033	0	33	1.74956	0.00298	1.50765	0.24778	0.56884	0.65715	0.72733	NA	NA	0.75055	0.46528	NA	31.64587	NA	28.59045	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000034	0	34	0.76646	0.47892	1.16077	0.38023	0.6249	0.00731	0.14517	NA	NA	0.69847	0.5739	NA	38.17302	NA	39.95473	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000035	0	35	1.80316	0.24412	1.67135	0.90439	0.63752	0.61531	0.26734	NA	NA	0.63873	0.61442	NA	30.9462	NA	32.80859	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000036	0	36	0.82953	1.77315	0.93409	0.32575	0.27787	0.17681	0.26037	NA	NA	0.27557	0.26294	NA	33.02218	NA	28.07449	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000037	0	37	0.4243	1.31305	0.1754	0.68737	0.08651	0.00893	0.01188	NA	NA	0.1953	0.15811	NA	31.65334	NA	15.2938	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000038	0	38	0.81301	1.36967	1.33381	0.08659	0.95464	0.13927	0.52699	NA	NA	0.72667	0.70592	NA	14.83817	NA	29.23423	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000039	0	39	1.43751	0.78934	0.24963	0.38361	0.04876	0.26704	0.19388	NA	NA	0.28515	0.16383	NA	8.51354	NA	33.76434	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000040	0	40	0.85287	0.58609	0.87392	0.59293	0.09584	0.77021	0.71578	NA	NA	0.81981	0.69624	NA	37.92042	NA	28.301	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000041	0	41	1.14389	1.92322	0.31503	0.01333	0.72113	0.00226	0.20601	NA	NA	0.32517	0.21018	NA	9.67939	NA	11.5593	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000042	0	42	1.92965	0.22476	0.37984	0.29032	0.27949	0.32302	0.03477	NA	NA	0.46147	0.39995000000000003	NA	33.33499	NA	6.47292	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000043	0	43	1.87334	1.79855	0.3649	0.00522	0.27848	0.01976	0.03221	NA	NA	0.15115	0.08199	NA	25.90323	NA	2.8129	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000044	0	44	0.1268	0.22615	0.40055	0.6201	0.58256	0.14388	0.09524	NA	NA	0.25824	0.21345	NA	36.51728	NA	36.78094	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000045	0	45	0.92704	1.28812	0.89641	0.51175	0.70142	0.15578	0.51464	NA	NA	0.60104	0.38498	NA	6.82019	NA	16.14948	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000046	0	46	0.06276	0.63899	1.87437	0.94384	0.08403	0.05127	0.00496	NA	NA	0.1422	0.10496	NA	5.25378	NA	29.59532	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000047	0	47	1.67395	1.3912	0.53169	0.06494	0.3447	0.08776	0.27674	NA	NA	0.77811	0.75477	NA	25.22277	NA	9.88382	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000048	0	48	1.29531	0.41295	1.2876	0.5579	0.13135	0.20889	0.52413	NA	NA	0.60481	0.58912	NA	8.49226	NA	33.21338	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000049	0	49	1.3139	0.57167	1.40529	0.83293	0.96552	0.41846	0.31855	NA	NA	0.5344	0.31754	NA	26.58494	NA	30.2666	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000050	0	50	1.72608	0.61713	1.89621	0.06584	0.24658	0.19088	0.30627	NA	NA	0.35055	0.23954	NA	12.32436	NA	39.4874	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000051	0	51	0.4717	1.48195	1.17373	0.95518	0.16596	0.00664	0.01619	NA	NA	0.0327	0.03129	NA	28.35492	NA	12.02842	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000052	0	52	1.39802	0.39806	1.57217	0.35344	0.0786	0.39534	0.57458	NA	NA	0.74952	0.44097	NA	33.06314	NA	20.87083	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000053	0	53	0.53064	0.76238	1.64564	0.83542	0.06299	0.16657	0.10155	NA	NA	0.18187	0.18136	NA	5.62617	NA	30.11731	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000054	0	54	0.31779	1.38435	0.06572	0.2727	0.52358	0.04731	0.02909	NA	NA	0.5695	0.45477	NA	21.50923	NA	29.68639	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000055	0	55	0.45062	0.27157	1.50756	0.18983	0.43418	0.19942	0.23024	NA	NA	0.33109	0.28884	NA	26.67423	NA	21.57509	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000056	0	56	0.59296	1.16812	0.98675	0.4273	0.90104	0.21554	0.01513	NA	NA	0.38084	0.22715	NA	9.51619	NA	22.51955	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000057	0	57	0.61216	1.49466	1.57812	0.35013	0.39174	0.13508	0.02494	NA	NA	0.62686	0.62262	NA	28.72748	NA	24.8383	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000058	0	58	0.81019	1.83063	1.81204	0.3768	0.25806	0.44294	0.43535	NA	NA	0.47342	0.32414	NA	8.33169	NA	35.68754	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000059	0	59	0.1173	0.76899	1.99518	0.72377	0.21581	0.1702	0.00935	NA	NA	0.25743	0.19038	NA	33.0701	NA	1.62387	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000060	0	60	0.5844	0.24977	0.95068	0.11017	0.36766	0.00717	0.00819	NA	NA	0.58848	0.2948	NA	8.72489	NA	17.38705	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000061	0	61	0.13015	1.28385	0.33309	0.65177	0.45846	0.15643	0.05792	NA	NA	0.29756	0.2329	NA	37.81414	NA	19.5766	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000062	0	62	0.60249	1.39335	1.47043	0.37444	0.14624	0.10152	0.08361	NA	NA	0.14474	0.07766	NA	3.19277	NA	13.06661	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000063	0	63	1.94604	1.2634	0.13669	0.12869	0.26758	0.06132	0.09994	NA	NA	0.11666	0.06997	NA	22.67211	NA	22.51189	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000064	0	64	0.82071	0.4717	0.85008	0.10494	0.13393	0.21048	0.11192	NA	NA	0.2682	0.24099	NA	2.4184	NA	25.88589	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000065	0	65	1.60575	1.3757	1.90235	0.00502	0.01107	0.39026	0.42206	NA	NA	0.76851	0.41339	NA	9.40252	NA	23.53514	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000066	0	66	0.43287	1.42041	0.81675	0.31441	0.68807	0.75003	0.05436	NA	NA	0.7542	0.59703	NA	23.89704	NA	2.88567	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000067	0	67	1.11755	0.22828	1.7747	0.41566	0.60884	0.40535	0.30824	NA	NA	0.84027	0.59761	NA	34.96795	NA	7.1493	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000068	0	68	0.51094	0.14914	0.64957	0.85666	0.52784	0.46095	0.65285	NA	NA	0.6965	0.42254	NA	33.3649	NA	37.06018	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000069	0	69	0.96485	0.73323	1.72717	0.91455	0.19509	0.05887	0.02207	NA	NA	0.07987	0.05348	NA	23.69617	NA	29.08006	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000070	0	70	1.50421	1.50955	0.64511	0.96159	0.82808	0.08282	0.45155	NA	NA	0.6168	0.42937	NA	27.50158	NA	39.442	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000071	0	71	0.72622	1.39563	0.14262	0.3429	0.20534	0.39564	0.27912	NA	NA	0.44499	0.42803	NA	7.57912	NA	22.7142	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000072	0	72	0.71831	0.86884	1.29421	0.10513	0.65294	0.23359	0.04151	NA	NA	0.36096	0.24867	NA	7.58721	NA	8.71709	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000073	0	73	0.82367	1.37809	1.37531	0.58463	0.41997	0.37249	0.01442	NA	NA	0.58148	0.48897	NA	11.22337	NA	28.82185	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000074	0	74	0.12732	0.33118	0.32358	0.8717	0.41247	0.09706	0.17358	NA	NA	0.70727	0.42389	NA	21.98111	NA	7.64448	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000075	0	75	0.62821	1.95592	0.46909	0.11557	0.19725	0.3497	0.00405	NA	NA	0.74236	0.44044	NA	18.0842	NA	16.20489	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000076	0	76	0.96986000000000006	1.79402	1.84271	0.52682	0.02365	0.70338	0.28472	NA	NA	0.73862	0.71325	NA	17.88006	NA	30.72527	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000077	0	77	1.66728	0.64301	0.80009	0.80725	0.61647	0.63344	0.31171	NA	NA	0.73398	0.46688	NA	12.3447	NA	35.11978	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000078	0	78	0.75102	0.33017	0.46114	0.25608	0.83119	0.13462	0.17972	NA	NA	0.23862	0.22314	NA	25.71661	NA	38.89158	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000079	0	79	0.52548	1.84314	1.10773	0.33068	0.84207	0.35791	0.40041	NA	NA	0.85732	0.60521	NA	6.79599	NA	21.30351	NA
